Device Name:,,VoltX4,VoltX4,VoltX4,VoltX4
Device Description:,,4-Channel Voltage Data Logger,4-Channel Voltage Data Logger,4-Channel Voltage Data Logger,4-Channel Voltage Data Logger
Serial Number:,,R64783,R64783,R64783,R64783
Device ID:,,MultiChannel,MultiChannel,MultiChannel,MultiChannel
,,,,,
,,Channel 1,Channel 2,Channel 3,Channel 4
Date,Time,Voltage 1 (mV),Voltage 2 (mV),Voltage 3 (mV),Voltage 4 (mV)
7/13/21,7:00:00 AM,40.09516,35.50754,-35.36706,-2.19196
7/13/21,7:00:10 AM,40.82806,35.51868,-35.36848,-2.169
7/13/21,7:00:20 AM,41.4119,35.5192,-35.36776,-2.16538
7/13/21,7:00:30 AM,41.93262,35.51964,-35.36692,-2.1636
7/13/21,7:00:40 AM,68.10016,35.54604,-35.34014,-2.16942
7/13/21,7:00:50 AM,68.76556,35.54524,-35.34016,-3.17258
7/13/21,7:01:00 AM,69.61712,35.54486,-35.3394,-3.59514
7/13/21,7:01:10 AM,68.85154,35.5439,-35.34018,-3.4278
7/13/21,7:01:20 AM,68.0393,35.54284,-35.3424,-4.312
7/13/21,7:01:30 AM,68.09104,35.5415,-35.34224,-4.76878
7/13/21,7:01:40 AM,68.16286,35.542,-35.3426,-4.88654
7/13/21,7:01:50 AM,68.26022,35.54224,-35.34316,-4.87184
7/13/21,7:02:00 AM,68.50036,35.54226,-35.34206,-4.8744
7/13/21,7:02:10 AM,68.72522,35.5426,-35.34314,-4.85312
7/13/21,7:02:20 AM,69.31114,35.5435,-35.34218,-4.80472
7/13/21,7:02:30 AM,69.71732,35.54352,-35.34064,-4.75418
7/13/21,7:02:40 AM,70.0027,35.54418,-35.34058,-4.70506
7/13/21,7:02:50 AM,70.3641,35.54344,-35.34024,-4.65972
7/13/21,7:03:00 AM,70.6584,35.54412,-35.3405,-4.6168
7/13/21,7:03:10 AM,70.90364,35.54468,-35.33926,-4.57728
7/13/21,7:03:20 AM,71.0859,35.54448,-35.3392,-4.5379
7/13/21,7:03:30 AM,71.26266,35.54468,-35.33924,-4.50286
7/13/21,7:03:40 AM,71.35558,35.5445,-35.33922,-4.46918
7/13/21,7:03:50 AM,71.43318,35.5451,-35.3393,-4.43806
7/13/21,7:04:00 AM,71.517,35.54516,-35.3392,-4.40886
7/13/21,7:04:10 AM,71.57036,35.5452,-35.339,-4.38008
7/13/21,7:04:20 AM,71.62704,35.54488,-35.33886,-4.35366
7/13/21,7:04:30 AM,71.68614,35.54522,-35.33776,-4.3285
7/13/21,7:04:40 AM,71.72912,35.54448,-35.33942,-4.30574
7/13/21,7:04:50 AM,71.77424,35.54532,-35.33884,-4.2828
7/13/21,7:05:00 AM,71.83902,35.54506,-35.33818,-4.26136
7/13/21,7:05:10 AM,71.839,35.5453,-35.33864,-4.24104
7/13/21,7:05:20 AM,71.83176,35.54556,-35.33926,-4.22132
7/13/21,7:05:30 AM,71.8636,35.5457,-35.33872,-4.20266
7/13/21,7:05:40 AM,71.91794,35.54528,-35.3382,-4.18626
7/13/21,7:05:50 AM,71.93896,35.5458,-35.33892,-4.16934
7/13/21,7:06:00 AM,71.95774,35.54556,-35.33882,-4.15288
7/13/21,7:06:10 AM,71.9923,35.54532,-35.33886,-4.13744
7/13/21,7:06:20 AM,71.98208,35.54572,-35.33872,-4.12208
7/13/21,7:06:30 AM,72.01942,35.54572,-35.3385,-4.10856
7/13/21,7:06:40 AM,72.02966,35.5455,-35.3383,-4.09438
7/13/21,7:06:50 AM,72.06264,35.54572,-35.33832,-4.08136
7/13/21,7:07:00 AM,72.0639,35.5455,-35.33846,-4.06838
7/13/21,7:07:10 AM,72.10222,35.54534,-35.33822,-4.05536
7/13/21,7:07:20 AM,72.15432,35.54604,-35.33838,-4.04324
7/13/21,7:07:30 AM,72.17448,35.54566,-35.3384,-4.03132
7/13/21,7:07:40 AM,72.167,35.54532,-35.33848,-4.01908
7/13/21,7:07:50 AM,72.1676,35.54486,-35.33798,-4.00804
7/13/21,7:08:00 AM,72.2095,35.54488,-35.33836,-3.99588
7/13/21,7:08:10 AM,72.22066,35.54592,-35.33842,-3.985
7/13/21,7:08:20 AM,72.24136,35.54646,-35.3383,-3.97454
7/13/21,7:08:30 AM,72.23396,35.54572,-35.33798,-3.96412
7/13/21,7:08:40 AM,72.25586,35.54522,-35.33812,-3.95384
7/13/21,7:08:50 AM,72.28188,35.54524,-35.33786,-3.9431
7/13/21,7:09:00 AM,72.31208,35.54556,-35.33772,-3.93366
7/13/21,7:09:10 AM,72.31646,35.54634,-35.33712,-3.92276
7/13/21,7:09:20 AM,72.35576,35.54572,-35.3378,-3.91352
7/13/21,7:09:30 AM,72.388,35.54578,-35.33752,-3.90314
7/13/21,7:09:40 AM,72.38246,35.54516,-35.33762,-3.89432
7/13/21,7:09:50 AM,72.41992,35.54552,-35.33804,-3.88444
7/13/21,7:10:00 AM,72.4238,35.5457,-35.33772,-3.8754
7/13/21,7:10:10 AM,72.45078,35.54516,-35.33806,-3.86692
7/13/21,7:10:20 AM,72.4574,35.54622,-35.33794,-3.8582
7/13/21,7:10:30 AM,72.46944,35.54566,-35.3379,-3.8499
7/13/21,7:10:40 AM,72.48328,35.54648,-35.33782,-3.8413
7/13/21,7:10:50 AM,72.46778,35.54558,-35.33712,-3.83272
7/13/21,7:11:00 AM,72.483,35.54556,-35.33728,-3.82426
7/13/21,7:11:10 AM,72.50806,35.54542,-35.33768,-3.81652
7/13/21,7:11:20 AM,72.5308,35.54508,-35.3375,-3.80828
7/13/21,7:11:30 AM,72.54778,35.54534,-35.33754,-3.80068
7/13/21,7:11:40 AM,72.54268,35.54564,-35.33722,-3.79262
7/13/21,7:11:50 AM,72.56006,35.54548,-35.33766,-3.78412
7/13/21,7:12:00 AM,72.57942,35.54524,-35.3377,-3.7767
7/13/21,7:12:10 AM,72.56946,35.54534,-35.33764,-3.76934
7/13/21,7:12:20 AM,72.56882,35.54564,-35.33768,-3.76226
7/13/21,7:12:30 AM,72.56554,35.54524,-35.33808,-3.7548
7/13/21,7:12:40 AM,72.59348,35.5458,-35.33724,-3.74784
7/13/21,7:12:50 AM,72.63914,35.54536,-35.3374,-3.74086
7/13/21,7:13:00 AM,72.65166,35.54532,-35.33718,-3.73352
7/13/21,7:13:10 AM,72.63138,35.54524,-35.33698,-3.72604
7/13/21,7:13:20 AM,72.66966,35.54578,-35.3362,-3.71858
7/13/21,7:13:30 AM,72.66586,35.54546,-35.33702,-3.71234
7/13/21,7:13:40 AM,72.6808,35.54504,-35.33726,-3.70544
7/13/21,7:13:50 AM,72.72328,35.54562,-35.33782,-3.69834
7/13/21,7:14:00 AM,72.71784,35.54554,-35.33742,-3.69148
7/13/21,7:14:10 AM,72.7635,35.5457,-35.33698,-3.68514
7/13/21,7:14:20 AM,72.78554,35.5457,-35.33712,-3.67884
7/13/21,7:14:30 AM,72.74414,35.54568,-35.33664,-3.67266
7/13/21,7:14:40 AM,72.76264,35.54502,-35.33676,-3.66524
7/13/21,7:14:50 AM,72.7917,35.54576,-35.33694,-3.65956
7/13/21,7:15:00 AM,72.79028,35.5454,-35.33652,-3.65262
7/13/21,7:15:10 AM,72.78694,35.5454,-35.33706,-3.64656
7/13/21,7:15:20 AM,72.80824,35.54502,-35.33736,-3.64058
7/13/21,7:15:30 AM,72.8009,35.54592,-35.33686,-3.63448
7/13/21,7:15:40 AM,72.77968,35.54496,-35.33712,-3.62808
7/13/21,7:15:50 AM,72.77618,35.54562,-35.3374,-3.6226
7/13/21,7:16:00 AM,72.78072,35.54506,-35.33684,-3.616
7/13/21,7:16:10 AM,72.79108,35.54512,-35.33674,-3.60996
7/13/21,7:16:20 AM,72.80536,35.54548,-35.33648,-3.60444
7/13/21,7:16:30 AM,72.78204,35.54446,-35.33578,-3.599
7/13/21,7:16:40 AM,72.79466,35.54508,-35.33676,-3.5931
7/13/21,7:16:50 AM,72.7958,35.54514,-35.33606,-3.5885
7/13/21,7:17:00 AM,72.83454,35.54582,-35.3369,-3.5831
7/13/21,7:17:10 AM,72.7979,35.54508,-35.33732,-3.57704
7/13/21,7:17:20 AM,72.80868,35.54504,-35.3363,-3.5717
7/13/21,7:17:30 AM,72.78672,35.54488,-35.33626,-3.56638
7/13/21,7:17:40 AM,72.78232,35.54538,-35.33608,-3.56132
