Device Name:,,VoltX4,VoltX4,VoltX4,VoltX4
Device Description:,,4-Channel Voltage Data Logger,4-Channel Voltage Data Logger,4-Channel Voltage Data Logger,4-Channel Voltage Data Logger
Serial Number:,,R64783,R64783,R64783,R64783
Device ID:,,MultiChannel,MultiChannel,MultiChannel,MultiChannel
,,,,,
,,Channel 1,Channel 2,Channel 3,Channel 4
Date,Time,Voltage 1 (mV),Voltage 2 (mV),Voltage 3 (mV),Voltage 4 (mV)
8/19/21,2:20:00 AM,34.93598,35.4293,-35.37662,-4.6935
8/19/21,2:20:10 AM,34.9422,35.42684,-35.37652,-4.69986
8/19/21,2:20:20 AM,34.95938,35.4257,-35.37694,-4.7065
8/19/21,2:20:30 AM,34.9637,35.42464,-35.37694,-4.71238
8/19/21,2:20:40 AM,34.98208,35.42436,-35.37718,-4.71888
8/19/21,2:20:50 AM,34.98926,35.42254,-35.3772,-4.72384
8/19/21,2:21:00 AM,35.0254,35.42166,-35.37702,-4.7284
8/19/21,2:21:10 AM,35.01624,35.42038,-35.37676,-4.73316
8/19/21,2:21:20 AM,34.98854,35.41994,-35.37754,-4.73798
8/19/21,2:21:30 AM,35.00408,35.41864,-35.37774,-4.74172
8/19/21,2:21:40 AM,35.0735,35.41814,-35.37766,-4.74812
8/19/21,2:21:50 AM,35.1556,35.41796,-35.37752,-4.75124
8/19/21,2:22:00 AM,35.22974,35.41862,-35.37754,-4.75586
8/19/21,2:22:10 AM,35.29386,35.41764,-35.3783,-4.76112
8/19/21,2:22:20 AM,35.3262,35.4167,-35.37802,-4.76542
8/19/21,2:22:30 AM,35.41808,35.41728,-35.3779,-4.77118
8/19/21,2:22:40 AM,35.46298,35.4158,-35.37804,-4.78018
8/19/21,2:22:50 AM,35.4568,35.41314,-35.37822,-4.78722
8/19/21,2:23:00 AM,35.53112,35.41232,-35.3781,-4.80396
8/19/21,2:23:10 AM,35.6074,35.40972,-35.3779,-4.83658
8/19/21,2:23:20 AM,35.7365,35.40926,-35.37834,-4.86282
8/19/21,2:23:30 AM,64.18524,35.43728,-35.3483,-5.21584
8/19/21,2:23:40 AM,65.39194,35.44554,-35.3492,-6.8208
8/19/21,2:23:50 AM,65.96796,35.4788,-35.34914,-7.07824
8/19/21,2:24:00 AM,62.76604,35.47336,-35.3538,-7.8973
8/19/21,2:24:10 AM,62.42558,35.47008,-35.3551,-9.2569
8/19/21,2:24:20 AM,62.54812,35.46946,-35.355,-9.51184
8/19/21,2:24:30 AM,62.96582,35.46852,-35.3546,-9.61388
8/19/21,2:24:40 AM,63.27976,35.46736,-35.3545,-9.60256
8/19/21,2:24:50 AM,63.9031,35.4682,-35.35436,-9.5287
8/19/21,2:25:00 AM,64.62514,35.46818,-35.35338,-9.44974
8/19/21,2:25:10 AM,65.26768,35.4678,-35.35278,-9.37416
8/19/21,2:25:20 AM,65.7959,35.46784,-35.35146,-9.302
8/19/21,2:25:30 AM,66.22422,35.46842,-35.35198,-9.23502
8/19/21,2:25:40 AM,66.65526,35.46836,-35.35108,-9.17304
8/19/21,2:25:50 AM,67.043,35.4678,-35.34998,-9.1136
8/19/21,2:26:00 AM,67.3678,35.46774,-35.35012,-9.05676
8/19/21,2:26:10 AM,67.6211,35.46716,-35.35006,-9.00344
8/19/21,2:26:20 AM,67.83676,35.46732,-35.34964,-8.95364
8/19/21,2:26:30 AM,68.03204,35.46716,-35.3495,-8.90474
8/19/21,2:26:40 AM,68.20584,35.46696,-35.34942,-8.85738
8/19/21,2:26:50 AM,68.36512,35.46706,-35.34948,-8.81348
8/19/21,2:27:00 AM,68.51636,35.46688,-35.34816,-8.76972
8/19/21,2:27:10 AM,68.64586,35.4666,-35.3486,-8.72762
8/19/21,2:27:20 AM,68.77376,35.46748,-35.34848,-8.68698
8/19/21,2:27:30 AM,68.88734,35.46694,-35.34888,-8.64786
8/19/21,2:27:40 AM,68.9537,35.46738,-35.3483,-8.60924
8/19/21,2:27:50 AM,69.07864,35.46662,-35.34844,-8.5721
8/19/21,2:28:00 AM,69.16044,35.46724,-35.3484,-8.53656
8/19/21,2:28:10 AM,69.2435,35.4672,-35.34824,-8.50128
8/19/21,2:28:20 AM,69.34996,35.46698,-35.34746,-8.46704
8/19/21,2:28:30 AM,69.43728,35.46706,-35.34774,-8.43334
8/19/21,2:28:40 AM,69.51612,35.46612,-35.34736,-8.401
8/19/21,2:28:50 AM,69.54588,35.4677,-35.3474,-8.36852
8/19/21,2:29:00 AM,69.58874,35.46678,-35.34782,-8.33644
8/19/21,2:29:10 AM,69.67622,35.46718,-35.34776,-8.30644
8/19/21,2:29:20 AM,69.71112,35.46738,-35.3473,-8.27594
8/19/21,2:29:30 AM,69.77564,35.46724,-35.34758,-8.24572
8/19/21,2:29:40 AM,69.81792,35.46722,-35.34788,-8.21746
8/19/21,2:29:50 AM,69.87732,35.4669,-35.34742,-8.1885
8/19/21,2:30:00 AM,69.91064,35.46692,-35.34722,-8.16176
8/19/21,2:30:10 AM,69.93582,35.46716,-35.34728,-8.13298
8/19/21,2:30:20 AM,69.98778,35.46742,-35.34726,-8.10714
8/19/21,2:30:30 AM,70.01112,35.46762,-35.34672,-8.08154
8/19/21,2:30:40 AM,70.04516,35.4669,-35.34726,-8.05518
8/19/21,2:30:50 AM,70.10918,35.4677,-35.34732,-8.03002
8/19/21,2:31:00 AM,70.1633,35.46748,-35.3469,-8.00446
8/19/21,2:31:10 AM,70.20622,35.46732,-35.34704,-7.98058
8/19/21,2:31:20 AM,70.23996,35.4667,-35.34752,-7.95596
8/19/21,2:31:30 AM,70.26876,35.46796,-35.3468,-7.93286
8/19/21,2:31:40 AM,70.30346,35.46748,-35.34646,-7.90894
8/19/21,2:31:50 AM,70.33238,35.4675,-35.34672,-7.88614
8/19/21,2:32:00 AM,70.35244,35.46778,-35.34684,-7.86316
8/19/21,2:32:10 AM,70.3916,35.46778,-35.34746,-7.84098
8/19/21,2:32:20 AM,70.41306,35.46714,-35.3466,-7.81928
8/19/21,2:32:30 AM,70.44306,35.46728,-35.347,-7.79774
8/19/21,2:32:40 AM,70.46646,35.46738,-35.34706,-7.77666
8/19/21,2:32:50 AM,70.46458,35.4684,-35.34676,-7.75522
8/19/21,2:33:00 AM,70.51516,35.46866,-35.34624,-7.73522
8/19/21,2:33:10 AM,70.57982,35.46808,-35.3471,-7.71542
8/19/21,2:33:20 AM,70.58036,35.46746,-35.34672,-7.6952
8/19/21,2:33:30 AM,70.60012,35.46738,-35.34622,-7.67558
8/19/21,2:33:40 AM,70.59918,35.46706,-35.3464,-7.65696
8/19/21,2:33:50 AM,70.6194,35.46788,-35.34722,-7.63708
8/19/21,2:34:00 AM,70.6546,35.46752,-35.34632,-7.6192
8/19/21,2:34:10 AM,70.6966,35.46816,-35.34644,-7.60036
8/19/21,2:34:20 AM,70.7088,35.46794,-35.3468,-7.5819
8/19/21,2:34:30 AM,70.72406,35.46812,-35.34636,-7.5642
8/19/21,2:34:40 AM,70.75012,35.46826,-35.34606,-7.54658
8/19/21,2:34:50 AM,70.74618,35.46774,-35.34652,-7.52962
8/19/21,2:35:00 AM,70.79132,35.46782,-35.3463,-7.5118
8/19/21,2:35:10 AM,70.82568,35.46752,-35.34606,-7.49546
8/19/21,2:35:20 AM,70.80064,35.46792,-35.34594,-7.47792
8/19/21,2:35:30 AM,70.80506,35.46792,-35.346,-7.46176
8/19/21,2:35:40 AM,70.83738,35.4672,-35.34628,-7.44544
8/19/21,2:35:50 AM,70.85506,35.46838,-35.34584,-7.42898
8/19/21,2:36:00 AM,70.89538,35.4674,-35.34602,-7.41308
8/19/21,2:36:10 AM,70.90432,35.46794,-35.34608,-7.39734
8/19/21,2:36:20 AM,70.94482,35.46748,-35.3453,-7.38234
8/19/21,2:36:30 AM,70.9615,35.4683,-35.34608,-7.3661
8/19/21,2:36:40 AM,70.99466,35.46788,-35.34686,-7.35168
8/19/21,2:36:50 AM,70.99328,35.46822,-35.34588,-7.33498
8/19/21,2:37:00 AM,71.03502,35.46818,-35.3465,-7.32166
8/19/21,2:37:10 AM,71.03354,35.4683,-35.34544,-7.3056
8/19/21,2:37:20 AM,71.06068,35.4678,-35.34558,-7.29136
8/19/21,2:37:30 AM,71.08868,35.46848,-35.34552,-7.27608
8/19/21,2:37:40 AM,71.10814,35.46788,-35.34612,-7.26292
