Device Name:,,VoltX4,VoltX4,VoltX4,VoltX4
Device Description:,,4-Channel Voltage Data Logger,4-Channel Voltage Data Logger,4-Channel Voltage Data Logger,4-Channel Voltage Data Logger
Serial Number:,,R64784,R64784,R64784,R64784
Device ID:,,MultiChannel,MultiChannel,MultiChannel,MultiChannel
,,,,,
,,Channel 1,Channel 2,Channel 3,Channel 4
Date,Time,Voltage 1 (mV),Voltage 2 (mV),Voltage 3 (mV),Voltage 4 (mV)
6/12/21,6:00:00 AM,34.74948,35.57652,-35.42376,-2.24598
6/12/21,6:15:00 AM,35.31506,35.54598,-35.40028,-0.29204
6/12/21,6:30:00 AM,38.17896,35.52154,-35.37308,0.56132
6/12/21,6:45:00 AM,38.0472,35.5032,-35.35624,1.03324
6/12/21,7:00:00 AM,38.83936,35.4945,-35.34434,1.4228
6/12/21,7:15:00 AM,38.42844,35.48904,-35.33826,1.74314
6/12/21,7:30:00 AM,45.50338,35.49222,-35.32646,1.81392
6/12/21,7:45:00 AM,53.25282,35.50038,-35.31768,1.56232
6/12/21,8:00:00 AM,57.07804,35.5049,-35.31424,1.2478
6/12/21,8:15:00 AM,59.42954,35.50948,-35.31238,0.9442
6/12/21,8:30:00 AM,61.45072,35.51512,-35.3139,0.64046
6/12/21,8:45:00 AM,64.29736,35.51968,-35.31348,0.25388
6/12/21,9:00:00 AM,65.91416,35.5239,-35.31434,-0.1788
6/12/21,9:15:00 AM,66.75432,35.52882,-35.31734,-0.81684
6/12/21,9:30:00 AM,63.95038,35.52946,-35.32426,-1.082
6/12/21,9:45:00 AM,62.04568,35.53108,-35.3305,-1.3843
6/12/21,10:00:00 AM,60.9449,35.53348,-35.33412,-1.50262
6/12/21,10:15:00 AM,59.87858,35.5338,-35.33632,-1.58568
6/12/21,10:30:00 AM,60.0602,35.53588,-35.33964,-1.79516
6/12/21,10:45:00 AM,60.73106,35.53724,-35.34068,-1.8854
6/12/21,11:00:00 AM,61.48796,35.5389,-35.34114,-2.07038
6/12/21,11:15:00 AM,62.4171,35.54148,-35.34106,-2.28136
6/12/21,11:30:00 AM,63.16584,35.54334,-35.34192,-2.34444
6/12/21,11:45:00 AM,63.08012,35.54474,-35.3432,-2.46838
6/12/21,12:00:00 PM,63.47678,35.5464,-35.34524,-2.59468
6/12/21,12:15:00 PM,63.957,35.54712,-35.34526,-2.74872
6/12/21,12:30:00 PM,64.61116,35.54908,-35.34474,-2.85482
6/12/21,12:45:00 PM,64.88756,35.55146,-35.34736,-2.96614
